tract,population,total_area_flood_1,TAFSQM,GAHSQM,LNDSQM,TTLSQM,IBuff_Pop,BWDP_Pop,WVW_Pop
36047049100,6418,0,0.11956664601288,0.0522916314613493,213036,213036,0.810844499844188,0.0202555313181677,0
36047049500,2603,0,0.0876961829102887,0.0461228444099981,129025,129025,0.716480983480599,0,0
36047049600,4513,0,0.129688878810138,0.0253885933733306,202847,202847,0.968978506536672,0.0292488366939951,0
36047050000,3474,0,0.206071817411992,0.0664744546151054,198392,198392,0.789291882556131,0,0
36047050500,4163,0,0.184904077871757,0.0482445778008789,169304,169304,0.414604852269998,0,0
36047051002,4725,0,0.15747612015627,0.030796119408565,106994,106996,0.971005291005291,0.521269841269841,0
36061000700,8109,0.157573786848881,0.0289032598653821,0.000570335036482588,212156,448996,0.980638796399063,0.000123319768158836,0.000246639536317672
36061000900,731,0.199153089995068,0.022703727701696,0.00278946154606455,273171,758286,0.978112175102599,0,0.0136798905608755
36061001502,7476,0.183680098070289,0.0147777583231196,0.00188599014482603,199895,381767,0.968833600856073,0,0.00280898876404494
36061002400,5434,0.229304014722589,0.311308688719483,0.123572398483235,177483,653146,0.578947368421053,0.0881486934118513,0.110047846889952
36061002800,7114,0.379935733347857,0.166668482108818,0.0422417079679756,183610,183610,0.728422828226033,0,0
36061003601,3393,0,0.222277917573108,0.033774774684458,99749,99749,0.814323607427056,0,0
36061003700,2447,0.214428706050086,0.0686903432479357,0.0317598758840679,368043,409614,0.375561912545975,0,0
36047051200,6398,0,0.187689116205873,0.0366250581208198,139795,139796,0.659737417943107,0.761956861519225,0
36047051900,3564,0.294798469966137,0.0636551133994983,0.0245302752159381,273458,273458,0.877946127946128,0,0
36047052900,3979,0,0.140208143812613,0.0268218304983894,174783,174783,0.972354863030912,0,0
36047053200,2579,0,0.31730741631601,0.0635717033014346,174197,174198,0.746801085692129,0.281892206281504,0
36047054500,8008,0,0.231756559288573,0.0802920143382857,167663,167663,0.960789210789211,0,0.00287212787212787
36047054700,5245,0.0330957048654429,0.119410484006029,0.0458585544417063,167188,168330,0.998284080076263,0.0497616777883699,0.0671115347950429
